,subjects,predicates,objects,question,subject_labels,predicate_labels,object_labels
0,['Q1054799'],['P1308'],['Q9151911'],Who is the president of Poland?,['president of Poland'],['officeholder'],['Andrzej Duda']
1,"['Q185667', 'Q40']","['P166', 'P27']",['0'],How many Turing awards have people from Austria won?,"['Turing awards', 'Austria']","['award received', 'country of citizenship']",['0']
2,['Q19317'],"['P3450', 'P1346']","['Q79800', 'Q83459', 'Q134916', 'Q676899', 'Q42267', 'Q43310', 'Q47762', 'Q47774']",Give me all countries that have won a FIFA World Cup,['FIFA World Cup'],"['sports season of league or competition', 'winner']","['Argentina national football team', 'Brazil national football team', 'Uruguay national football team', 'Italy national association football team', 'Spain national association football team', 'Germany national association football team', 'England national association football team', 'France national association football team']"
3,['Q298'],"['P1082', 'P1082', 'P585']",['19458000'],What is the population of Chile?,['Chile'],"['population', 'population', 'point in time']",['19458000']
4,['Q673'],['P50'],['Q2010'],Who is the author of One Piece?,['One Piece'],['author'],['Eiichiro Oda']
5,"['Q639669', 'Q34']","['P106', 'P27']","['Q75329', 'Q12844', 'Q14711', 'Q24726', 'Q26029', 'Q32221', 'Q313366', 'Q350481', 'Q350530', 'Q351209']",Which musicians are from Sweden?,"['musicians', 'Sweden']","['occupation', 'country of citizenship']","['Anna Järvinen', 'Bertilo Wennergren', 'Mats Levén', 'Thore Ehrling', 'Mika Karppinen', 'Kristian Wåhlin', 'Dr. Alban', 'Oscar Dronjak', 'Adam Nordén', 'Erik Josefsson']"
6,['Q3772'],['P57'],['19'],How many movies has Tarantino directed?,['Tarantino'],['director'],['19']
7,"['Q60', 'Q956']","['P2046', 'P2046']",['False'],Is New York bigger than Beijing?,"['New York', 'Beijing']","['area', 'area']",['False']
8,['Q458'],['P527'],"['Q27', 'Q28', 'Q29', 'Q31', 'Q32', 'Q33', 'Q34', 'Q35', 'Q36', 'Q37']",what countries are part of the European Union?,['European Union'],['has part or parts'],"['Ireland', 'Hungary', 'Spain', 'Belgium', 'Luxembourg', 'Finland', 'Sweden', 'Denmark', 'Poland', 'Lithuania']"
9,['Q82594'],"['P106', 'P569']","['Q92709', 'Q92711', 'Q92715', 'Q92720', 'Q92761', 'Q92764', 'Q92771', 'Q92779', 'Q92792', 'Q92805']",What computer scientists were born after 1970?,['computer scientists'],"['occupation', 'date of birth']","['Luca Trevisan', 'Nick Pippenger', 'Phil Moorby', 'Daniel A. Keim', 'Ian Murdock', 'Sergey Brin', 'Janus Friis', 'Ingo Molnár', 'Blake Ross', 'Umesh Vazirani']"
10,"['Q38111', 'Q185140']","['P569', 'P569']",['False'],Is Leonardo Dicaprio older than Joaquin Phoenix?,"['Leonardo Dicaprio', 'Joaquin Phoenix']","['date of birth', 'date of birth']",['False']
11,['Q160112'],['P17'],['Q29'],In which country is the Museo del Prado located?,['Museo del Prado'],['country'],['Spain']
12,['Q569978'],['P571'],['1966-08-05T00:00:00Z'],When did Caesars Palace open?,['Caesars Palace'],['inception'],['1966-08-05T00:00:00Z']
13,['Q91'],['P102'],"['Q29468', 'Q42183', 'Q80719']",Which political party was Abraham Lincoln a member of?,['Abraham Lincoln'],['member of political party'],"['Republican Party', 'Whig Party', 'National Union Party']"
14,"['Q503', 'Q3305213']","['P180', 'P31/wdt']","['Q548141', 'Q17492929', 'Q17493299', 'Q17494397', 'Q18918134', 'Q19924778', 'Q20198024', 'Q26838163', 'Q47688755', 'Q49252391']",Which paintings feature a banana?,"['banana', 'paintings']","['depicts', 'instance of']","['The Dream', 'Le Fauteuil de paille', 'The Meal (The Bananas)', ""Still life: the artist's studio"", 'Still Life with Apples', 'Fruit with Blue-footed Bowl', 'Basket of Bananas', 'Still-life with Black Tray', 'Basket of tangerines and bananas', 'Banana\xa0Harvest']"
15,"['Q186516', 'Q429220']","['P31', 'P462']",['False'],Do any national flags use pink?,"['national flags', 'pink']","['instance of', 'color']",['False']
16,['Q207867'],['P570'],['1980-05-18T00:00:00Z'],When did Ian Curtis commit suicide?,['Ian Curtis'],['date of death'],['1980-05-18T00:00:00Z']
17,['Q301'],"['P170', 'P195']","['Q840886', 'Q895434', 'Q132783', 'Q386570', 'Q160112', 'Q2274725', 'Q816669', 'Q82941', 'Q160112', 'Q1264942']",Where can I see paintings by El Greco?,['El Greco'],"['creator', 'collection']","['Museum of Fine Arts, Budapest', 'Bowes Museum', 'Hermitage Museum', 'Museo Lázaro Galdiano', 'Museo del Prado', 'Museum of Santa Cruz', 'Benaki Museum', 'São Paulo Museum of Art', 'Museo del Prado', 'Dumbarton Oaks']"
18,"['Q41163', 'Q36949']","['P161', 'P161']","['Q42198', 'Q184768', 'Q477624', 'Q1196157', 'Q1550654', 'Q3225260', 'Q4243278', 'Q29057443', 'Q77852299', 'Q105549749']",In which movies did Al Pacino and Robert de Niro appear together?,"['Al Pacino', 'Robert de Niro']","['cast member', 'cast member']","['Heat', 'The Godfather Part II', 'Righteous Kill', 'The Godfather Saga', 'I Knew It Was You', 'The Godfather', 'The Godfather Trilogy: 1901-1980', 'The Irishman', 'The Irishman: In Conversation', 'House of Gucci']"
19,[],"['P35', 'P569']",['Q2002477'],Who is the youngest head of state in the world?,[],"['head of state', 'date of birth']",['Prince Caspian']
20,"['Q111', 'Q8502']","['P31/wdt', 'P376']","['Q499164', 'Q1472301', 'Q992791', 'Q2844426', 'Q3117621', 'Q1659726', 'Q108923604', 'Q606769', 'Q608793', 'Q618912']",Which mountains are on Mars?,"['Mars', 'mountain']","['instance of', 'located on astronomical body']","['Ascraeus Mons', 'Uranius Mons', 'Syrtis Major Planum', 'Amphitrites Patera', 'Uranius group of volcanoes', 'Novus Mons', 'Jezero Mons', 'Hecates Tholus', 'Alba Mons', 'Apollinaris Mons']"
21,"['Q154', 'Q13191']","['P186', 'P31*/wdt']","['Q651259', 'Q17118943', 'Q68218896']",What alcoholic drinks are made with orange?,"['alcoholic drinks', 'orange']","['made from material', 'instance of']","['Grand Marnier', 'Pruno', 'orange liqueur']"
22,"['Q19594662', 'Q7889']","['P31/wdt', 'P674', 'P31/wdt']","['Q194135', 'Q42593389', 'Q194135', 'Q88636946', 'Q194135', 'Q1068669', 'Q111631165', 'Q65059474', 'Q194135', 'Q35627', 'Q194135', 'Q40177', 'Q8338659', 'Q40627', 'Q194135', 'Q151512', 'Q194135', 'Q610923', 'Q2081430', 'Q843131']",Which video games have a fox character?,"['fox', 'video games']","['instance of', 'characters', 'instance of']","['Miles ""Tails"" Prower', 'Sonic Forces: Speed Battle', 'Miles ""Tails"" Prower', 'Sonic P-06', 'Miles ""Tails"" Prower', 'Sonic the Hedgehog', 'Yae Miko', 'Genshin Impact', 'Miles ""Tails"" Prower', 'Sonic the Hedgehog 2', 'Miles ""Tails"" Prower', 'Sonic & Knuckles', 'Carmelita Fox', 'Sly Cooper and the Thievius Raccoonus', 'Miles ""Tails"" Prower', 'Sonic Triple Trouble', 'Miles ""Tails"" Prower', 'Sonic Battle', 'Fox McCloud', 'Super Smash Bros. Brawl']"
23,"['Q11631', 'Q49108']","['P69', 'P106']",['45'],How many astronauts studied at MIT?,"['astronauts', 'MIT']","['educated at', 'occupation']",['45']
24,['Q44559'],"['P31/wdt', 'P575']",['1988-01-01T00:00:00Z'],When was the first exoplanet discovered?,['exoplanet'],"['instance of', 'time of discovery or invention']",['1988-01-01T00:00:00Z']
