,question,responses,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
0,Who is the president of Poland?,['Andrzej Duda'],['Gończy Polski'],"['Gończy Polski', 'Wasilew Szlachecki']","['Gończy Polski', 'Wasilew Szlachecki', 'Bohuslav']",['Wasilew Szlachecki'],"['Wasilew Szlachecki', 'Bohuslav']","['Wasilew Szlachecki', 'Bohuslav']",['Gończy Polski'],"['Gończy Polski', 'Łukasz Mikołajczyk']","['Gończy Polski', 'Łukasz Mikołajczyk']"
1,How many Turing awards have people from Austria won?,['0'],['9'],['9'],['9'],[],[],[],['9'],['9'],['9']
2,Give me all countries that have won a FIFA World Cup,"['Argentina national football team', ' Brazil national football team', ' Uruguay national football team', ' Italy national association football team', ' Spain national association football team', ' Germany national association football team', ' England national association football team', ' France national association football team']",['Croatia.'],"['Croatia.', 'no.']","['Croatia.', 'no.', '2022.']",['Spain'],['Spain'],['Spain'],['Croatia.'],"['Croatia.', 'no.']","['Croatia.', 'no.', '2022.']"
3,What is the population of Chile?,['19458000'],['23.5522'],"['23.5522', '9820.89']","['23.5522', '9820.89', '18054726']",['18054726'],['18054726'],['18054726'],['23.5522'],"['23.5522', '9820.89']","['23.5522', '9820.89']"
4,Who is the author of One Piece?,['Eiichiro Oda'],['Eiichiro Oda'],"['Eiichiro Oda', 'Eiichiro Oda']","['Eiichiro Oda', 'Eiichiro Oda', 'Bandai']",['Eiichiro Oda'],['Eiichiro Oda'],['Eiichiro Oda'],['Eiichiro Oda'],"['Eiichiro Oda', 'Bandai']","['Eiichiro Oda', 'Bandai']"
5,Which musicians are from Sweden?,"['Anna Järvinen', ' Bertilo Wennergren', ' Mats Levén', ' Thore Ehrling', ' Mika Karppinen', ' Kristian Wåhlin', ' Dr. Alban', ' Oscar Dronjak', ' Adam Nordén', ' Erik Josefsson']",['rock music'],"['rock music', 'Nils-Eric Johansson']","['rock music', 'Nils-Eric Johansson', 'Nils-Eric Johansson']",['rock music'],['rock music'],['rock music'],['Nils-Eric Johansson'],"['Nils-Eric Johansson', 'Nils-Eric Johansson']","['Nils-Eric Johansson', 'Nils-Eric Johansson', 'Japan']"
6,How many movies has Tarantino directed?,['19'],,,,,,,,,
7,Is New York bigger than Beijing?,['False'],,,,,,,,,
8,what countries are part of the European Union?,"['Ireland', ' Hungary', ' Spain', ' Belgium', ' Luxembourg', ' Finland', ' Sweden', ' Denmark', ' Poland', ' Lithuania']",,,,,,,,,
9,What computer scientists were born after 1970?,"['Luca Trevisan', ' Nick Pippenger', ' Phil Moorby', ' Daniel A. Keim', ' Ian Murdock', ' Sergey Brin', ' Janus Friis', ' Ingo Molnár', ' Blake Ross', ' Umesh Vazirani']",,,,,,,,,
10,Is Leonardo Dicaprio older than Joaquin Phoenix?,['False'],,,,,,,,,
11,In which country is the Museo del Prado located?,['Spain'],,,,,,,,,
12,When did Caesars Palace open?,['1966-08-05T00:00:00Z'],,,,,,,,,
13,Which political party was Abraham Lincoln a member of?,"['Republican Party', ' Whig Party', ' National Union Party']",,,,,,,,,
14,Which paintings feature a banana?,"['The Dream', ' Le Fauteuil de paille', ' The Meal (The Bananas)', ' ""Still life: the artists studio""', ' Still Life with Apples', ' Fruit with Blue-footed Bowl', ' Basket of Bananas', ' Still-life with Black Tray', ' Basket of tangerines and bananas', ' Banana\\xa0Harvest']",,,,,,,,,
15,Do any national flags use pink?,['False'],,,,,,,,,
16,When did Ian Curtis commit suicide?,['1980-05-18T00:00:00Z'],,,,,,,,,
17,Where can I see paintings by El Greco?,"['Museum of Fine Arts', ' Budapest', ' Bowes Museum', ' Hermitage Museum', ' Museo Lázaro Galdiano', ' Museo del Prado', ' Museum of Santa Cruz', ' Benaki Museum', ' São Paulo Museum of Art', ' Museo del Prado', ' Dumbarton Oaks']",,,,,,,,,
18,In which movies did Al Pacino and Robert de Niro appear together?,"['Heat', ' The Godfather Part II', ' Righteous Kill', ' The Godfather Saga', ' I Knew It Was You', ' The Godfather', ' The Godfather Trilogy: 1901-1980', ' The Irishman', ' The Irishman: In Conversation', ' House of Gucci']",,,,,,,,,
19,Who is the youngest head of state in the world?,['Prince Caspian'],,,,,,,,,
20,Which mountains are on Mars?,"['Ascraeus Mons', ' Uranius Mons', ' Syrtis Major Planum', ' Amphitrites Patera', ' Uranius group of volcanoes', ' Novus Mons', ' Jezero Mons', ' Hecates Tholus', ' Alba Mons', ' Apollinaris Mons']",,,,,,,,,
21,What alcoholic drinks are made with orange?,"['Grand Marnier', ' Pruno', ' orange liqueur']",,,,,,,,,
22,Which video games have a fox character?,"['Miles ""Tails"" Prower', ' Sonic Forces: Speed Battle', ' Miles ""Tails"" Prower', ' Sonic P-06', ' Miles ""Tails"" Prower', ' Sonic the Hedgehog', ' Yae Miko', ' Genshin Impact', ' Miles ""Tails"" Prower', ' Sonic the Hedgehog 2', ' Miles ""Tails"" Prower', ' Sonic & Knuckles', ' Carmelita Fox', ' Sly Cooper and the Thievius Raccoonus', ' Miles ""Tails"" Prower', ' Sonic Triple Trouble', ' Miles ""Tails"" Prower', ' Sonic Battle', ' Fox McCloud', ' Super Smash Bros. Brawl']",,,,,,,,,
23,How many astronauts studied at MIT?,['45'],,,,,,,,,
24,When was the first exoplanet discovered?,['1988-01-01T00:00:00Z'],,,,,,,,,
25,Which movies were directed by siblings?,"['Pilot', ' Pilot', ' A Dangerous Adventure', ' A Dangerous Adventure', ' Farewell to Enrico Berlinguer', ' Farewell to Enrico Berlinguer', ' The Three Stooges', ' The Three Stooges', ' Race 2', ' Race 2']",,,,,,,,,
