,question,entities,MuHeQA_NER,MuHeQA_PoS,MuHeQA_NER+PoS,FLERT,BERT,RoBERTA,MuHeQA_FLERT
0,Where did roger marquis die,['Roger Marquis'],['roger marquis'],['roger marquis'],['roger marquis'],['roger marquis'],[],['roger marquis'],['roger marquis']
1,what was the cause of death of yves klein,['Yves Klein'],['yves klein'],['yves klein'],['yves klein'],['yves klein'],[],['yves klein'],['yves klein']
2,What position does carlos gomez play?,['Carlos Gómez'],['carlos gomez'],"['position', 'carlos gomez']",['carlos gomez'],['carlos gomez'],[],['carlos gomez'],['carlos gomez']
3,how does engelbert zaschka identify ,['Engelbert Zaschka'],['engelbert zaschka'],['engelbert zaschka'],['engelbert zaschka'],['engelbert zaschka'],"['engel', 'zasch']",['engelbert zaschka'],['engelbert zaschka']
4,what position does pee wee reese play in baseball,['Pee Wee Reese'],['pee wee reese'],"['position', 'reese', 'baseball']",['pee wee reese'],['pee wee reese'],[],['pee wee reese'],['pee wee reese']
5,Which Swiss conductor's cause of death is myocardial infarction?,['myocardial infarction'],['swiss'],"['Swiss conductor', 'death', 'myocardial infarction']",['swiss conductor'],['Swiss'],['Swiss'],['Swiss'],['Swiss']
6,where was padraic mcguinness's place of death,['Padraic McGuinness'],['padraic mcguinness'],"['padraic mcguinness', 'death']",['padraic mcguinness'],['padraic mcguinness'],[],['padraic mcguinness'],['padraic mcguinness']
7,what is the place of birth of sam edwards?,['Sam Edwards'],['sam edwards'],['sam edwards'],['sam edwards'],['sam edwards'],[],['sam edwards'],['sam edwards']
8,Which home is an example of italianate architecture?,['Italianate architecture'],['italianate'],"['home', 'italianate architecture']",['italianate architecture'],['italianate'],[],['italianate'],['italianate architecture']
9,who published neo contra,['Neo Contra'],['neo contra'],['neo contra'],['neo contra'],[],[],['neo contra'],['neo contra']
10,what is angie estes's profession ,['Angie Estes'],['angie estes'],"['angie', 'profession']",['angie estes'],['angie estes'],[],['angie estes'],['angie estes']
11,what position does josé francisco torres play?,['José Francisco Torres'],['jose francisco torres'],"['position', 'josé francisco torres']",['jose francisco torres'],['josé francisco torres'],[],['josÃ© francisco torres'],['josé francisco torres']
12,what male actor was born in  warsaw,['Warsaw'],['warsaw'],"['male actor', 'warsaw']",['warsaw'],['warsaw'],[],['warsaw'],['warsaw']
13,who was also born in jakarta,['Jakarta'],['jakarta'],['jakarta'],['jakarta'],['jakarta'],['jakarta'],['jakarta'],['jakarta']
14,Who was born in prague,['Prague'],['prague'],['prague'],['prague'],['prague'],[],['prague'],['prague']
15,where was guy pnini born,['Guy Pnini'],['guy pnini'],['guy pnini'],['guy pnini'],['guy pnini'],[],['guy pnini'],['guy pnini']
16,what is an album recorded by scott grimes,['Scott Grimes'],['scott grimes'],"['album', 'scott grimes']",['scott grimes'],['scott grimes'],[],['scott grimes'],['scott grimes']
17,what was the country of origin of the tv show sidewalks entertainment,['Sidewalks Entertainment'],['sidewalks entertainment'],['tv show sidewalks entertainment'],['tv show sidewalks entertainment'],[],[],['sidewalks entertainment'],['tv show sidewalks entertainment']
