,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,WEL
0,Who is the president of Poland?,['president of Poland'],['Q1054799'],"['Q1054799', 'Q7241287']",['Q1054799'],['Q1054799'],['Q1054799'],['Q1054799'],"['Q1054799', 'Q36']"
1,How many Turing awards have people from Austria won?,"['Turing awards', ' Austria']","['Q185667', ' Q40']","['Q185667', 'Q56067342', 'Q185667', 'Q40', 'Q131964', 'Q211216', 'Q4825411', 'Q359060', 'Q28513', 'Q41358', 'Q25114801', 'Q2325193', 'Q783470']","['Q185667', 'Q185667', 'Q40']","['Q185667', 'Q40']","['Q185667', 'Q185667', 'Q40']","['Q185667', 'Q185667', 'Q40']","['Q185667', 'Q5', 'Q40']"
2,Give me all countries that have won a FIFA World Cup,['FIFA World Cup'],['Q19317'],"['Q19317', 'Q864001', 'Q176883', 'Q170645', 'Q150933', 'Q4630361', 'Q152633', 'Q127429', 'Q1477115', 'Q517621']",['Q19317'],['Q19317'],['Q19317'],['Q19317'],"['Q6256', 'Q19317']"
3,What is the population of Chile?,['Chile'],['Q298'],"['Q298', 'Q1045129', 'Q396324', 'Q18418541', 'Q5490088', 'Q99299995', 'Q103780179', 'Q37446942', 'Q23650252', 'Q5965485']",['Q298'],['Q298'],['Q298'],['Q298'],"['Q2625603', 'Q298']"
4,Who is the author of One Piece?,['One Piece'],['Q673'],"['Q200539', 'Q673', 'Q710324', 'Q28667972', 'Q4431905', 'Q1224682', 'Q109526557', 'Q13199126', 'Q3882554', 'Q1287740']",['Q28667972'],['Q673'],"['Q673', 'Q710324']","['Q673', 'Q28667972', 'Q710324']","['Q482980', 'Q1048718', 'Q27953041']"
5,Which musicians are from Sweden?,"['musicians', ' Sweden']","['Q639669', ' Q34']","['Q177220', 'Q13415262', 'Q23929011', 'Q20880370', 'Q103831833', 'Q18688398', 'Q16678306', 'Q20817194', 'Q23944695', 'Q100403339', 'Q639669', 'Q6942593', 'Q83554686', 'Q20810288', 'Q28005652', 'Q6942594', 'Q28127166', 'Q6942591', 'Q108502747', 'Q34', 'Q7654287', 'Q3450805', 'Q3709888', 'Q424644', 'Q99282565', 'Q12004480', 'Q7654285', 'Q37437749', 'Q7654280']","['Q20817194', 'Q12004480']","['Q23929011', 'Q34']","['Q23929011', 'Q34']","['Q23929011', 'Q34']","['Q639669', 'Q34']"
6,How many movies has Tarantino directed?,['Tarantino'],['Q3772'],"['Q3772', 'Q695526', 'Q388029', 'Q21487819', 'Q340129', 'Q16686650', 'Q18678733', 'Q3568062', 'Q17655039', 'Q20065538']",['Q18678733'],['Q695526'],['Q695526'],['Q695526'],"['Q11424', 'Q3772']"
7,Is New York bigger than Beijing?,"['New York', ' Beijing']","['Q60', ' Q956']","['Q60', 'Q1384', 'Q22654', 'Q769668', 'Q1507987', 'Q21123', 'Q4322522', 'Q2720168', 'Q530355', 'Q17021430', 'Q956', 'Q110977398', 'Q8567', 'Q28824544', 'Q16952', 'Q1305924', 'Q96676812', 'Q74211605', 'Q5482851', 'Q103892354']","['Q1384', 'Q956']","['Q1384', 'Q956']","['Q1384', 'Q956']","['Q1384', 'Q956']","['Q60', 'Q956']"
8,what countries are part of the European Union?,['European Union'],['Q458'],"['Q458', 'Q319328', 'Q326124', 'Q185441', 'Q208202', 'Q392918', 'Q1126192', 'Q308905', 'Q207203', 'Q276255']",['Q458'],['Q458'],['Q458'],['Q458'],"['Q6256', 'Q7401', 'Q458']"
9,What computer scientists were born after 1970?,['computer scientists'],['Q82594'],"['Q52329719', 'Q45975691', 'Q82594', 'Q7083000', 'Q52329719', 'Q48440361', 'Q27075877', 'Q58925992', 'Q92380217']",['Q82594'],['Q82594'],['Q82594'],['Q82594'],['Q82594']
10,Is Leonardo Dicaprio older than Joaquin Phoenix?,"['Leonardo Dicaprio', ' Joaquin Phoenix']","['Q38111', ' Q185140']","['Q38111', 'Q96006477', 'Q6525967', 'Q108049382', 'Q47010331', 'Q6606737', 'Q105390041', 'Q185140', 'Q25040819', 'Q1552765']","['Q38111', 'Q185140']","['Q38111', 'Q185140']","['Q38111', 'Q185140']","['Q38111', 'Q96006477', 'Q185140']",['Q38111']
11,In which country is the Museo del Prado located?,['Museo del Prado'],['Q160112'],"['Q160112', 'Q86536874']",['Q160112'],['Q160112'],['Q160112'],['Q160112'],"['Q3336843', 'Q160112']"
12,When did Caesars Palace open?,['Caesars Palace'],['Q569978'],"['Q569978', 'Q740696', 'Q649422', 'Q5017035', 'Q8039', 'Q779373', 'Q786639', 'Q5017031', 'Q111650626', 'Q111150711']",['Q569978'],['Q569978'],['Q569978'],['Q569978'],['Q569978']
13,Which political party was Abraham Lincoln a member of?,['Abraham Lincoln'],['Q91'],"['Q91', 'Q587557', 'Q166089', 'Q390994', 'Q2821841', 'Q4669005', 'Q10322725', 'Q16386266', 'Q20489944', 'Q7730887']",['Q2821841'],['Q91'],['Q91'],['Q91'],"['Q7278', 'Q91', 'Q379825']"
14,Which paintings feature a banana?,"['banana', ' paintings']","['Q503', ' Q3305213']","['Q503', 'Q5264979', 'Q806082', 'Q806083', 'Q806080', 'Q18890182', 'Q4853816', 'Q4853814', 'Q11043804', 'Q4077188', 'Q3305213', 'Q28553095', 'Q50385080', 'Q80401342', 'Q64580399', 'Q18638520', 'Q3374401', 'Q60997035', 'Q56230792', 'Q7780577', 'Q11629', 'Q3374341', 'Q652003', 'Q1272381', 'Q2898215', 'Q55418910', 'Q55414220', 'Q55413757', 'Q55408271']","['Q503', 'Q28553095', 'Q50385080', 'Q64580399']","['Q503', 'Q28553095']","['Q503', 'Q28553095']","['Q503', 'Q28553095', 'Q50385080']","['Q11629', 'Q503']"
15,Do any national flags use pink?,"['national flags', ' pink']","['Q186516', ' Q429220']","['Q30639879', 'Q186516', 'Q42876', 'Q160255', 'Q80110', 'Q185692', 'Q163008', 'Q160124', 'Q3173323', 'Q63455848', 'Q703518', 'Q429220', 'Q160009', 'Q49294', 'Q2710021', 'Q2340654', 'Q59318252', 'Q7119408', 'Q16881240', 'Q29821019', 'Q2293999']","['Q186516', 'Q429220']","['Q186516', 'Q429220']","['Q186516', 'Q429220']","['Q186516', 'Q429220', 'Q59318252']",['Q186516']
16,When did Ian Curtis commit suicide?,['Ian Curtis'],['Q207867'],"['Q207867', 'Q5981345', 'Q16785254', 'Q5981335', 'Q106761471', 'Q16268882', 'Q5983231', 'Q30380611']",['Q5981335'],['Q207867'],['Q207867'],['Q207867'],"['Q207867', 'Q10737']"
17,Where can I see paintings by El Greco?,['El Greco'],['Q301'],"['Q301', 'Q102178594', 'Q105755094', 'Q1135929', 'Q2305408', 'Q5351349', 'Q1209954', 'Q3720922', 'Q77826136', 'Q3720921']",['Q301'],['Q301'],['Q301'],['Q301'],"['Q11629', 'Q301']"
18,In which movies did Al Pacino and Robert de Niro appear together?,"['Al Pacino', ' Robert de Niro']","['Q41163', ' Q36949']","['Q41163', 'Q17155499', 'Q47075', 'Q1493156', 'Q17688337', 'Q17688251', 'Q17688354', 'Q17688291', 'Q17688271', 'Q17688396', 'Q36949', 'Q951321', 'Q109075671', 'Q2635302', 'Q110037120', 'Q110036701', 'Q104682143', 'Q110036483', 'Q6776558', 'Q104681836']","['Q41163', 'Q36949']","['Q41163', 'Q36949']","['Q41163', 'Q17155499', 'Q36949']","['Q41163', 'Q17155499', 'Q36949']","['Q11424', 'Q41163', 'Q951321']"
19,Who is the youngest head of state in the world?,[''],[''],[],[],[],[],[],"['Q48352', 'Q7275', 'Q16502']"
20,Which mountains are on Mars?,"['Mars', ' mountain']","['Q111', ' Q8502']","['Q111', 'Q112', 'Q426315', 'Q695087', 'Q1116491', 'Q137393', 'Q19027710', 'Q274675', 'Q31305', 'Q31348', 'Q8502', 'Q1255792', 'Q1473477', 'Q2032181', 'Q356707', 'Q3861158', 'Q20997411', 'Q1885759', 'Q910112', 'Q46831']","['Q111', 'Q112', 'Q31305', 'Q8502']","['Q111', 'Q8502']","['Q111', 'Q8502']","['Q111', 'Q8502', 'Q1255792']","['Q8502', 'Q111']"
