,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
0,Who is the president of Poland?,['president of Poland'],['poland'],['Poland'],['Poland'],['Poland']
1,How many Turing awards have people from Austria won?,"['Turing awards', ' Austria']","['austria', 'many turing awards']","['Turing', 'Austria']","['Turing', 'Austria']","['Turing awards', 'Austria']"
2,Give me all countries that have won a FIFA World Cup,['FIFA World Cup'],['fifa world cup'],['FIFA World Cup'],['FIFA World Cup'],['FIFA World Cup']
3,What is the population of Chile?,['Chile'],['chile'],['Chile'],['Chile'],['Chile']
4,Who is the author of One Piece?,['One Piece'],['one piece'],['One Piece'],['One Piece'],['One Piece']
5,Which musicians are from Sweden?,"['musicians', ' Sweden']",['sweden'],['Sweden'],['Sweden'],['Sweden']
6,How many movies has Tarantino directed?,['Tarantino'],['tarantino'],['Tarantino'],['Tarantino'],['Tarantino']
7,Is New York bigger than Beijing?,"['New York', ' Beijing']","['beijing', 'new york']","['New York', 'Beijing']","['New York', 'Beijing']","['New York', 'Beijing']"
8,what countries are part of the European Union?,['European Union'],['european union'],['European Union'],['European Union'],['European Union']
9,What computer scientists were born after 1970?,['computer scientists'],"['computer scientists', '1970']",[],[],[]
10,Is Leonardo Dicaprio older than Joaquin Phoenix?,"['Leonardo Dicaprio', ' Joaquin Phoenix']","['leonardo dicaprio', 'joaquin phoenix']","['Leonardo Dicaprio', 'Joaquin Phoenix']","['Leonardo Dicap', 'Joaquin Phoenix']","['Leonardo Dicaprio', 'Joaquin Phoenix']"
11,In which country is the Museo del Prado located?,['Museo del Prado'],['museo del prado'],['Museo del Prado'],['Museo del Prado'],['Museo del Prado']
12,When did Caesars Palace open?,['Caesars Palace'],['caesars palace'],['Caesars Palace'],['Caesars Palace'],['Caesars Palace']
13,Which political party was Abraham Lincoln a member of?,['Abraham Lincoln'],['abraham lincoln'],['Abraham Lincoln'],['Abraham Lincoln'],['Abraham Lincoln']
14,Which paintings feature a banana?,"['banana', ' paintings']","['paintings', 'banana']",[],[],[]
15,Do any national flags use pink?,"['national flags', ' pink']","['national flags', 'pink']",[],[],[]
16,When did Ian Curtis commit suicide?,['Ian Curtis'],['ian curtis'],['Ian Curtis'],['Ian Curtis'],['Ian Curtis']
17,Where can I see paintings by El Greco?,['El Greco'],['el greco'],['El Greco'],['El Greco'],['El Greco']
18,In which movies did Al Pacino and Robert de Niro appear together?,"['Al Pacino', ' Robert de Niro']",['al pacino and robert de niro'],"['Al Pacino', 'Robert de Niro']","['Al Pacino', 'Robert de Niro']","['Al Pacino', 'Robert de Niro']"
19,Who is the youngest head of state in the world?,[''],['world'],[],[],[]
20,Which mountains are on Mars?,"['Mars', ' mountain']",['mars'],['Mars'],['Mars'],['Mars']
21,What alcoholic drinks are made with orange?,"['alcoholic drinks', ' orange']","['alcoholic drinks', 'orange']",[],[],[]
22,Which video games have a fox character?,"['fox', ' video games']",['fox character'],[],[],[]
23,How many astronauts studied at MIT?,"['astronauts', ' MIT']",['mit'],['MIT'],['MIT'],['MIT']
24,When was the first exoplanet discovered?,['exoplanet'],['first exoplanet'],[],[],[]
25,Which movies were directed by siblings?,['movies'],"['movies', 'siblings']",[],[],[]
26,What buildings are named after JFK?,"['JFK', ' buildings']",['jfk'],['JFK'],['JF'],['JFK']
27,When was Hey Jude released?,['Hey Jude'],['hey jude'],['Hey Jude'],['Hey Jude'],['Hey Jude']
28,Which countries have multiple capitals?,[''],"['countries', 'multiple capitals']",[],[],[]
29,Which video games are known to be NP complete?,"['video games', ' NP complete']","['video games', 'np complete']",[],['N'],[]
30,What is the most common cause of death among F1 drivers?,['F1 drivers'],['f1 drivers'],['F1'],['F1'],['F1']
31,Which asthma drugs are carcinogenic?,"['asthma', ' carcinogenic']",['asthma drugs'],[],[],[]
32,Which countries are named after plants?,"['countries', ' plants']","['countries', 'plants']",[],[],[]
33,Which telescopes are based in Chile?,"['Chile', ' telescopes']",['chile'],['Chile'],['Chile'],['Chile']
34,What is the chemical symbol for Potassium?,['Potassium'],['potassium'],[],['Potas'],[]
35,What is the Twitter account of Elon Musk?,['Elon Musk'],['elon musk'],"['Twitter', 'Elon Musk']",['Elon Musk'],"['Twitter', 'Elon Musk']"
36,Who is the CEO of eBay?,['eBay'],['ebay'],['eBay'],['eBay'],['eBay']
37,Which alkali metal is in period 4,"['alkali metal', ' period 4']","['alkali metal', 'period 4']",[],[],[]
38,Where can I find platypuses?,['platypuses'],['platypuses'],[],[],[]
39,Which endangered species can be found in Chile?,"['endangered species', ' Chile']",['chile'],['Chile'],['Chile'],['Chile']
40,Which country has the most nuclear power plants?,['nuclear power plants'],"['country', 'nuclear power plants']",[],[],[]
41,Which country has the most official languages?,['country'],"['country', 'official languages']",[],[],[]
42,When did ICLR start?,['ICLR'],['iclr'],['ICLR'],['I'],['ICLR']
43,Which country that does not border Germany has German as an official language?,"['Germany', ' German']",['germany'],"['Germany', 'German']","['Germany', 'German']","['Germany', 'German']"
